,ligacao_consumidor,nota_consumidor,custo_do_produto,compras_anteriores,desconto_oferecido,peso_em_gms,bloco_deposito_A,bloco_deposito_B,bloco_deposito_C,bloco_deposito_D,bloco_deposito_F,forma_envio_Flight,forma_envio_Road,forma_envio_Ship,genero_consumidor_F,genero_consumidor_M,importancia_produto_high,importancia_produto_low,importancia_produto_medium
5986,5,2,265,3,8,5447,0,0,1,0,0,0,0,1,0,1,0,1,0
6122,5,4,275,2,10,5395,1,0,0,0,0,0,0,1,0,1,0,0,1
8180,3,1,189,2,5,4738,1,0,0,0,0,0,0,1,1,0,0,1,0
6766,2,3,248,4,2,4521,0,0,1,0,0,0,0,1,1,0,1,0,0
4805,7,5,278,4,5,1572,0,0,0,0,1,1,0,0,1,0,0,1,0
2054,3,1,145,2,28,1313,1,0,0,0,0,1,0,0,0,1,0,1,0
7803,4,1,260,3,9,4239,0,1,0,0,0,0,1,0,0,1,0,1,0
5634,3,4,145,2,5,5513,0,0,0,1,0,0,0,1,1,0,1,0,0
4623,5,3,224,2,6,5962,0,1,0,0,0,0,0,1,0,1,0,1,0
10090,4,5,141,2,1,4395,0,0,1,0,0,0,0,1,0,1,0,1,0
5416,3,1,202,3,9,4322,0,0,1,0,0,0,0,1,1,0,0,0,1
2813,4,4,127,4,54,1239,0,0,0,0,1,0,0,1,0,1,1,0,0
5422,6,5,201,5,3,5771,0,0,1,0,0,0,0,1,0,1,0,0,1
2706,4,3,174,3,5,1502,0,0,0,1,0,0,0,1,1,0,0,1,0
9536,3,2,222,4,10,5720,1,0,0,0,0,0,0,1,0,1,0,0,1
4713,4,5,264,3,10,5972,0,1,0,0,0,0,0,1,1,0,0,1,0
987,3,3,202,2,39,3857,0,1,0,0,0,0,0,1,0,1,0,0,1
8997,4,2,184,3,5,5931,0,1,0,0,0,0,0,1,1,0,0,0,1
5929,4,4,138,5,10,5401,0,0,0,0,1,0,0,1,0,1,0,1,0
2570,3,3,179,3,41,1892,1,0,0,0,0,0,0,1,1,0,0,0,1
825,4,5,160,3,33,1837,0,1,0,0,0,1,0,0,0,1,0,1,0
8790,3,3,182,4,2,4746,0,0,0,1,0,0,0,1,1,0,0,1,0
6085,4,5,217,3,6,4848,0,0,0,0,1,0,0,1,1,0,0,1,0
5126,3,5,253,2,8,5476,1,0,0,0,0,0,0,1,0,1,0,1,0
4964,4,1,177,2,6,5566,1,0,0,0,0,0,0,1,0,1,0,0,1
3007,4,3,161,3,52,1199,0,0,0,0,1,0,1,0,1,0,0,1,0
1917,5,4,242,3,2,3564,0,1,0,0,0,1,0,0,1,0,1,0,0
9506,4,1,243,3,10,5832,1,0,0,0,0,0,0,1,0,1,0,0,1
5276,6,5,294,4,4,1302,1,0,0,0,0,0,0,1,0,1,0,1,0
2975,4,1,220,3,2,3886,0,0,0,0,1,0,0,1,0,1,1,0,0
9170,5,3,257,5,7,1451,1,0,0,0,0,0,1,0,1,0,0,1,0
2666,3,2,138,3,49,1923,1,0,0,0,0,0,0,1,0,1,0,1,0
5700,3,2,275,2,5,5393,0,0,0,1,0,0,0,1,1,0,0,1,0
7292,3,2,221,2,10,4715,1,0,0,0,0,0,0,1,0,1,0,0,1
1714,4,1,142,2,26,1683,0,0,1,0,0,0,0,1,0,1,0,1,0
2076,3,4,172,10,23,1875,0,0,0,1,0,0,0,1,1,0,1,0,0
6651,4,3,123,4,6,4166,0,1,0,0,0,0,0,1,0,1,0,0,1
2442,4,3,271,2,22,2595,0,0,0,1,0,0,1,0,0,1,0,0,1
8044,5,1,248,5,8,1810,0,0,1,0,0,0,0,1,1,0,0,1,0
867,4,3,261,3,10,2802,0,1,0,0,0,0,0,1,1,0,0,1,0
147,4,3,146,4,24,1844,0,1,0,0,0,1,0,0,1,0,0,0,1
9172,6,1,308,4,7,1260,0,0,1,0,0,0,1,0,1,0,0,1,0
7875,3,3,216,4,9,5107,0,1,0,0,0,0,0,1,1,0,0,1,0
9887,5,2,243,5,4,1385,0,0,0,0,1,0,0,1,1,0,0,0,1
2059,5,2,265,3,33,2734,0,0,0,0,1,1,0,0,1,0,0,0,1
4162,5,5,265,3,6,4423,0,0,1,0,0,0,0,1,0,1,0,1,0
10259,3,4,160,4,1,5341,0,0,0,0,1,0,1,0,0,1,0,1,0
3735,6,1,170,3,10,4858,0,1,0,0,0,0,0,1,1,0,0,1,0
1955,6,5,275,5,51,3569,0,0,0,0,1,0,0,1,0,1,0,0,1
1116,4,2,182,3,58,3943,0,0,0,1,0,0,0,1,0,1,0,1,0
9986,4,5,244,3,3,5857,1,0,0,0,0,0,1,0,0,1,0,0,1
2406,3,5,115,3,60,1122,0,0,0,1,0,0,0,1,0,1,0,0,1
3237,3,4,177,3,6,4445,0,1,0,0,0,0,0,1,1,0,0,1,0
8655,7,1,245,4,4,1653,0,1,0,0,0,0,0,1,0,1,0,0,1
4490,2,5,166,4,3,4638,1,0,0,0,0,0,0,1,1,0,0,0,1
2797,3,1,225,2,43,2585,0,0,0,0,1,0,0,1,1,0,1,0,0
10455,5,1,263,6,3,1665,0,1,0,0,0,0,0,1,1,0,0,1,0
7394,4,2,223,5,3,4480,1,0,0,0,0,1,0,0,1,0,0,0,1
3655,4,1,191,3,6,5335,0,0,0,0,1,0,0,1,1,0,1,0,0
8271,6,5,301,4,4,1707,0,1,0,0,0,0,0,1,1,0,0,1,0
10805,5,5,269,5,3,1120,0,0,0,0,1,0,1,0,1,0,0,0,1
8381,4,3,142,3,1,4900,0,0,0,0,1,0,0,1,0,1,0,0,1
8950,5,4,208,2,9,4569,0,0,1,0,0,0,0,1,0,1,0,1,0
5369,4,2,197,3,6,5826,0,0,0,0,1,0,0,1,1,0,0,1,0
1931,4,1,210,2,7,3405,0,0,0,0,1,1,0,0,1,0,0,0,1
4265,3,4,237,3,9,5514,0,0,0,0,1,0,0,1,1,0,1,0,0
8206,4,5,206,3,5,5785,0,0,1,0,0,0,1,0,0,1,0,0,1
10990,5,4,219,6,3,1098,0,0,1,0,0,0,0,1,0,1,0,1,0
4324,4,1,277,5,3,1527,0,0,1,0,0,0,0,1,0,1,0,0,1
10317,2,2,161,3,5,5999,0,1,0,0,0,0,0,1,1,0,0,1,0
864,3,4,187,2,8,3725,0,0,0,1,0,0,0,1,0,1,1,0,0
3900,3,2,220,3,8,4148,0,0,0,1,0,0,0,1,0,1,0,0,1
7620,2,3,206,4,2,5443,0,0,0,1,0,0,0,1,1,0,0,0,1
3546,4,2,152,3,6,5764,0,0,0,1,0,0,1,0,0,1,0,0,1
6542,7,5,296,4,2,1823,1,0,0,0,0,0,0,1,1,0,0,1,0
9375,4,1,233,6,2,5406,0,1,0,0,0,0,0,1,1,0,0,0,1
7362,4,3,203,2,7,4185,0,0,0,1,0,0,0,1,1,0,0,0,1
4007,5,2,229,3,1,5189,0,0,0,0,1,0,0,1,0,1,0,1,0
6380,3,3,151,3,7,4611,1,0,0,0,0,0,0,1,0,1,0,1,0
5355,4,1,231,3,2,4940,0,1,0,0,0,1,0,0,0,1,0,0,1
9608,5,3,191,3,6,4244,1,0,0,0,0,0,0,1,1,0,1,0,0
9742,3,3,154,2,1,5884,0,0,1,0,0,1,0,0,0,1,0,1,0
1715,3,3,275,3,61,2123,0,0,0,0,1,0,0,1,1,0,0,1,0
3636,5,3,249,3,10,5001,0,0,0,1,0,0,0,1,0,1,0,0,1
6263,7,2,276,4,9,1022,0,0,0,0,1,0,0,1,0,1,0,1,0
4848,3,1,175,3,1,4872,0,0,0,1,0,0,0,1,0,1,0,0,1
4583,2,2,170,3,7,4284,0,0,0,0,1,0,0,1,1,0,1,0,0
3639,5,2,259,2,1,4607,0,1,0,0,0,0,0,1,0,1,0,0,1
7929,4,4,97,6,4,5801,0,1,0,0,0,0,1,0,0,1,0,1,0
2898,4,2,180,3,22,1261,0,0,0,1,0,0,0,1,0,1,0,1,0
6591,6,2,259,4,6,1066,0,1,0,0,0,1,0,0,0,1,0,0,1
4298,3,5,140,3,9,4733,1,0,0,0,0,0,0,1,0,1,0,1,0
6109,4,5,216,2,8,5767,0,0,0,0,1,0,0,1,1,0,0,1,0
6084,2,1,192,3,9,4774,0,0,0,1,0,0,0,1,1,0,0,1,0
6002,6,4,282,4,6,1580,1,0,0,0,0,0,1,0,0,1,0,1,0
4398,3,3,203,3,7,4977,0,0,0,1,0,1,0,0,0,1,0,0,1
3448,2,3,144,4,10,4075,0,0,1,0,0,0,0,1,1,0,0,1,0
2499,3,4,240,2,8,3883,0,1,0,0,0,0,0,1,0,1,0,1,0
5354,4,5,140,5,3,4191,1,0,0,0,0,1,0,0,1,0,0,0,1
2519,2,4,223,3,19,3356,0,0,0,0,1,0,0,1,1,0,0,0,1
5747,5,3,280,3,2,5273,0,0,0,0,1,0,1,0,0,1,1,0,0
3954,3,2,269,4,1,5797,0,0,0,1,0,0,1,0,0,1,0,0,1
8528,5,3,230,3,7,4844,1,0,0,0,0,0,0,1,1,0,0,0,1
10269,4,1,194,2,3,5503,0,1,0,0,0,0,1,0,1,0,0,0,1
1571,5,2,151,4,12,1145,0,0,0,0,1,0,0,1,0,1,0,1,0
1223,3,1,258,2,11,2791,0,0,0,0,1,0,1,0,0,1,0,0,1
544,4,2,180,3,47,1434,0,0,1,0,0,1,0,0,1,0,0,1,0
643,4,3,197,4,58,3617,0,0,0,0,1,0,0,1,0,1,0,0,1
9292,3,4,160,3,10,4602,0,0,1,0,0,0,1,0,0,1,0,1,0
6637,3,4,153,4,5,5604,0,0,0,0,1,0,0,1,0,1,0,1,0
1690,3,4,174,2,51,1430,0,0,1,0,0,0,0,1,0,1,0,0,1
4778,4,1,245,2,5,5324,1,0,0,0,0,0,1,0,0,1,0,1,0
5632,5,4,217,2,3,5925,0,0,1,0,0,1,0,0,1,0,0,0,1
866,4,1,199,2,46,3371,1,0,0,0,0,0,0,1,1,0,0,1,0
5252,6,5,293,5,1,1278,1,0,0,0,0,0,0,1,1,0,0,1,0
5843,4,5,134,6,7,4881,0,0,0,0,1,0,0,1,0,1,0,0,1
7389,4,1,139,8,6,5667,0,1,0,0,0,0,1,0,0,1,0,0,1
787,5,1,160,3,22,1693,0,0,0,0,1,0,0,1,1,0,0,0,1
2048,3,2,185,2,49,3864,1,0,0,0,0,0,1,0,1,0,1,0,0
3073,5,3,270,3,38,3669,0,0,0,0,1,0,0,1,0,1,0,0,1
3989,3,4,212,3,8,5214,0,0,0,0,1,1,0,0,1,0,0,1,0
5464,7,5,283,5,8,1578,0,0,1,0,0,0,1,0,0,1,0,1,0
9069,3,1,153,2,7,5292,0,1,0,0,0,0,0,1,0,1,0,1,0
347,5,3,186,2,58,2259,0,0,0,0,1,0,0,1,1,0,0,0,1
6755,2,5,189,3,5,5320,0,0,0,0,1,0,0,1,1,0,0,1,0
8910,6,5,299,4,2,1192,0,0,0,1,0,1,0,0,0,1,0,1,0
9036,4,1,189,2,4,4122,0,0,0,1,0,0,1,0,0,1,0,0,1
7761,4,1,241,5,4,1145,0,1,0,0,0,0,0,1,1,0,0,1,0
5659,3,1,153,4,1,4608,0,0,0,0,1,0,0,1,1,0,0,0,1
5651,4,3,200,3,5,5108,0,0,0,0,1,0,0,1,0,1,0,0,1
8744,3,1,228,2,7,4977,1,0,0,0,0,0,1,0,1,0,0,1,0
7694,3,5,159,2,6,4295,1,0,0,0,0,0,0,1,1,0,1,0,0
9957,7,4,282,4,6,1800,0,1,0,0,0,0,0,1,0,1,0,1,0
2588,3,1,197,2,4,3621,1,0,0,0,0,0,1,0,0,1,0,1,0
6148,4,5,242,2,5,4806,0,0,1,0,0,0,1,0,1,0,0,0,1
9004,4,2,195,2,10,4640,0,0,1,0,0,0,0,1,0,1,0,0,1
6361,4,2,231,5,7,4718,0,0,0,0,1,0,0,1,0,1,0,1,0
3634,3,3,225,4,10,5690,0,0,1,0,0,0,0,1,0,1,0,1,0
821,2,1,98,3,29,1806,0,0,0,0,1,1,0,0,1,0,0,1,0
6288,4,5,264,6,6,1637,0,0,0,1,0,0,1,0,0,1,0,1,0
4578,4,4,218,2,4,4104,0,0,0,1,0,0,0,1,0,1,0,1,0
7119,3,4,200,4,8,4944,0,1,0,0,0,1,0,0,1,0,0,0,1
7923,3,4,188,6,6,4031,0,1,0,0,0,0,1,0,1,0,0,0,1
6810,5,2,259,5,7,1032,0,0,0,1,0,0,0,1,1,0,0,1,0
8395,4,3,181,2,4,5622,0,0,0,0,1,0,0,1,1,0,0,1,0
1710,4,1,227,3,54,3972,0,0,0,1,0,0,0,1,0,1,0,1,0
1986,5,4,138,2,38,1803,0,0,0,1,0,0,0,1,0,1,0,0,1
10431,4,2,156,3,5,4946,0,1,0,0,0,0,0,1,0,1,0,0,1
6279,6,1,286,4,3,1747,0,1,0,0,0,0,1,0,1,0,0,1,0
8490,4,1,194,2,1,4198,0,0,0,1,0,1,0,0,1,0,0,0,1
1037,3,1,156,3,49,1253,0,0,0,0,1,0,0,1,0,1,0,0,1
7755,6,3,250,4,9,1618,0,1,0,0,0,0,0,1,0,1,0,1,0
7091,4,3,169,6,2,5607,0,0,0,0,1,0,0,1,1,0,0,0,1
7686,5,4,233,4,1,4255,0,0,0,1,0,1,0,0,0,1,0,0,1
6203,4,5,201,8,4,5472,0,0,0,0,1,0,0,1,1,0,0,0,1
2678,5,3,210,2,19,3920,1,0,0,0,0,0,0,1,0,1,0,1,0
8920,6,2,271,4,3,1636,0,0,1,0,0,1,0,0,0,1,0,0,1
3613,4,5,274,2,2,4492,0,0,0,0,1,0,0,1,1,0,0,1,0
8140,3,2,178,2,2,4122,0,0,1,0,0,0,0,1,1,0,0,0,1
9348,6,2,255,4,9,1157,0,0,0,1,0,0,0,1,0,1,0,1,0
7682,5,2,241,2,9,4965,1,0,0,0,0,1,0,0,0,1,0,0,1
9174,5,4,307,5,8,1903,0,0,0,1,0,1,0,0,0,1,0,1,0
2448,5,3,136,3,13,1446,0,0,0,1,0,0,1,0,1,0,0,0,1
5480,3,1,222,3,8,4650,1,0,0,0,0,1,0,0,1,0,0,0,1
1774,3,5,180,2,33,1444,0,0,1,0,0,0,1,0,0,1,0,1,0
5279,6,3,248,4,6,1997,0,0,0,0,1,0,0,1,1,0,0,1,0
3724,5,1,245,3,9,5690,0,0,1,0,0,0,0,1,0,1,0,0,1
5438,4,4,263,4,7,4041,1,0,0,0,0,0,0,1,0,1,0,0,1
2571,4,5,212,4,21,1014,0,1,0,0,0,0,0,1,0,1,0,1,0
3980,5,3,244,2,5,4713,1,0,0,0,0,1,0,0,0,1,0,1,0
1086,4,2,176,3,23,1909,0,0,0,1,0,0,1,0,0,1,0,1,0
7146,7,4,309,4,7,1880,0,0,0,1,0,0,0,1,0,1,0,1,0
2097,5,4,214,3,52,3403,0,1,0,0,0,0,0,1,0,1,0,1,0
9407,7,3,244,4,10,1629,0,0,0,0,1,0,0,1,0,1,0,0,1
791,5,4,133,2,30,1161,0,0,0,0,1,0,0,1,0,1,0,0,1
496,4,2,216,3,12,2273,0,0,1,0,0,0,0,1,1,0,0,1,0
4014,4,1,234,3,8,4996,0,0,0,1,0,0,0,1,1,0,0,1,0
1957,3,1,202,3,1,3738,0,0,0,0,1,0,0,1,1,0,0,1,0
229,3,3,162,7,42,1278,0,0,0,0,1,0,0,1,1,0,0,0,1
1462,5,1,248,3,37,3830,0,0,1,0,0,0,0,1,0,1,0,1,0
5392,2,3,257,2,1,5331,0,0,1,0,0,0,0,1,1,0,0,1,0
8176,5,4,184,3,1,4208,0,0,1,0,0,0,0,1,1,0,0,1,0
8051,6,4,299,4,9,1527,0,0,0,0,1,0,0,1,0,1,0,1,0
9878,4,2,258,5,2,1494,1,0,0,0,0,1,0,0,0,1,0,0,1
1003,3,3,254,3,3,2837,0,0,0,0,1,0,0,1,0,1,0,0,1
5231,3,4,284,10,5,5479,0,0,0,0,1,0,0,1,0,1,0,1,0
9945,6,5,157,5,10,1133,0,1,0,0,0,0,0,1,1,0,0,1,0
10729,5,4,232,5,5,1861,0,0,0,0,1,0,0,1,0,1,0,0,1
3039,4,4,177,3,23,1142,0,1,0,0,0,0,0,1,0,1,0,0,1
4656,3,1,185,3,7,5474,0,0,0,1,0,1,0,0,0,1,0,0,1
6871,5,2,266,5,10,1274,0,0,0,0,1,0,0,1,1,0,0,1,0
8256,5,3,252,5,2,1312,0,0,0,1,0,0,0,1,0,1,0,1,0
10017,5,4,235,3,8,4636,0,1,0,0,0,1,0,0,1,0,0,0,1
1362,4,5,233,3,43,3856,0,0,0,1,0,0,1,0,1,0,0,0,1
8521,3,2,165,3,6,5642,0,0,0,0,1,0,0,1,0,1,0,1,0
5010,4,3,196,3,10,4194,0,0,0,1,0,0,0,1,1,0,0,1,0
7643,3,2,189,2,4,4160,0,0,0,0,1,0,0,1,1,0,0,0,1
3373,3,4,186,2,9,5841,0,0,0,0,1,0,0,1,1,0,0,0,1
4380,5,1,255,4,9,4881,0,0,0,1,0,1,0,0,0,1,0,0,1
3009,5,4,147,6,21,1145,0,1,0,0,0,1,0,0,1,0,0,0,1
440,3,5,251,2,23,2426,1,0,0,0,0,0,0,1,0,1,1,0,0
5147,3,4,106,6,7,4621,0,0,0,0,1,0,0,1,1,0,0,0,1
3156,3,5,132,3,7,4013,0,0,0,1,0,1,0,0,0,1,0,1,0
10242,4,2,160,3,5,4492,0,0,0,1,0,0,0,1,0,1,0,1,0
944,4,5,274,10,5,3910,1,0,0,0,0,0,1,0,1,0,0,0,1
2549,3,3,176,2,34,1856,0,0,0,0,1,0,0,1,0,1,0,0,1
472,2,2,189,4,9,3413,0,0,1,0,0,0,0,1,0,1,0,1,0
3919,4,1,260,2,1,5001,0,0,0,0,1,0,0,1,1,0,0,1,0
2783,3,2,98,3,60,1057,0,0,0,0,1,0,0,1,1,0,0,0,1
9081,3,2,247,2,2,4677,0,1,0,0,0,0,0,1,1,0,0,1,0
4425,5,5,188,3,7,4485,0,1,0,0,0,0,0,1,1,0,0,1,0
10207,5,1,259,6,2,1876,0,0,0,0,1,0,0,1,1,0,0,1,0
4428,3,5,246,3,2,5653,0,0,0,1,0,0,0,1,1,0,0,0,1
2530,4,1,141,2,23,1689,0,0,1,0,0,0,0,1,1,0,0,1,0
4991,6,2,243,4,9,1258,0,0,0,0,1,0,0,1,0,1,0,1,0
633,2,3,164,2,56,1491,0,1,0,0,0,0,0,1,0,1,0,1,0
7106,5,4,243,5,5,1118,1,0,0,0,0,0,1,0,1,0,0,1,0
6563,5,1,303,5,4,1009,0,0,0,0,1,0,1,0,1,0,0,0,1
1755,5,3,160,3,25,1977,0,1,0,0,0,0,1,0,0,1,1,0,0
756,4,5,195,5,10,3537,0,0,0,1,0,0,0,1,1,0,0,0,1
2218,4,2,243,3,13,2850,0,0,1,0,0,0,0,1,1,0,0,0,1
4631,5,3,237,3,8,5131,0,0,0,0,1,0,1,0,1,0,0,1,0
2952,3,3,162,3,3,1693,0,0,0,1,0,0,0,1,0,1,0,1,0
1661,3,2,150,3,4,1910,0,0,0,0,1,0,0,1,1,0,0,0,1
10762,5,2,253,5,6,1326,0,0,1,0,0,0,0,1,0,1,0,0,1
5094,4,3,133,2,9,4145,0,0,0,1,0,0,0,1,0,1,0,1,0
743,3,3,153,5,35,1089,0,0,0,0,1,0,0,1,0,1,0,1,0
7090,2,5,264,3,3,4320,0,0,1,0,0,0,0,1,1,0,0,0,1
1815,3,3,191,3,5,2007,0,1,0,0,0,0,0,1,0,1,0,1,0
10352,3,2,214,2,9,4512,1,0,0,0,0,0,0,1,1,0,0,0,1
8312,4,1,226,5,6,1723,1,0,0,0,0,0,0,1,0,1,0,0,1
5978,5,1,158,2,4,5736,1,0,0,0,0,0,0,1,0,1,0,1,0
1044,3,3,205,2,58,2187,0,0,0,1,0,0,0,1,1,0,0,0,1
9424,7,5,256,4,4,1139,0,0,1,0,0,0,0,1,0,1,0,0,1
3378,4,2,161,4,10,5322,0,0,0,1,0,0,0,1,1,0,0,1,0
6296,4,3,246,6,10,1176,1,0,0,0,0,0,1,0,1,0,0,1,0
5931,2,5,189,5,3,5292,0,1,0,0,0,0,0,1,0,1,0,1,0
1888,3,2,169,10,4,1665,0,0,1,0,0,0,0,1,1,0,0,0,1
7491,4,2,248,6,1,1415,0,1,0,0,0,0,0,1,0,1,0,1,0
1063,3,4,209,3,37,2215,0,0,0,0,1,0,0,1,0,1,0,1,0
9361,5,4,222,6,9,1003,0,0,0,0,1,0,0,1,1,0,0,1,0
4219,5,4,264,3,2,5716,0,0,0,0,1,0,0,1,0,1,0,0,1
3000,5,5,154,3,50,1389,0,0,0,1,0,0,1,0,1,0,0,0,1
4479,4,5,189,2,6,5439,0,1,0,0,0,0,0,1,0,1,0,0,1
4236,3,4,247,2,2,5016,0,0,0,1,0,0,1,0,1,0,0,0,1
1112,5,1,222,3,21,2351,1,0,0,0,0,1,0,0,0,1,1,0,0
2443,2,5,116,3,3,1688,0,0,0,0,1,0,1,0,1,0,0,1,0
2480,5,5,209,3,49,3893,1,0,0,0,0,1,0,0,0,1,0,1,0
2515,4,3,220,3,8,3342,0,0,0,0,1,0,0,1,0,1,0,0,1
3637,5,5,136,3,4,4218,0,0,0,0,1,0,0,1,0,1,0,1,0
5975,4,1,212,2,4,4969,0,0,0,0,1,0,0,1,0,1,0,0,1
9727,5,4,97,3,8,4577,0,0,0,0,1,1,0,0,1,0,0,0,1
10226,6,1,265,4,1,1345,1,0,0,0,0,0,0,1,1,0,0,1,0
8348,6,1,278,4,6,1576,1,0,0,0,0,0,1,0,0,1,0,0,1
6294,7,5,250,4,2,1296,0,0,0,1,0,0,1,0,1,0,0,1,0
5496,5,2,205,3,2,4270,0,0,0,1,0,1,0,0,1,0,0,1,0
9353,6,3,285,4,1,1606,0,0,0,0,1,0,0,1,1,0,0,0,1
2991,5,3,239,5,19,2988,0,1,0,0,0,0,1,0,1,0,0,0,1
2501,2,1,252,2,35,2526,0,0,0,0,1,0,0,1,0,1,0,1,0
979,4,4,140,2,47,1831,0,0,0,0,1,0,0,1,1,0,0,1,0
420,3,1,184,5,58,2544,0,0,0,1,0,1,0,0,1,0,0,0,1
156,6,3,275,5,41,2491,0,0,0,1,0,0,0,1,0,1,0,1,0
9851,4,2,219,2,1,5071,0,0,0,0,1,0,1,0,1,0,0,1,0
5694,5,3,142,4,4,5116,0,0,0,1,0,0,0,1,1,0,0,0,1
10225,4,2,242,6,10,1531,0,0,0,0,1,0,0,1,1,0,0,1,0
1127,4,4,136,3,35,1234,0,0,0,0,1,0,0,1,1,0,1,0,0
8487,3,1,207,3,5,4643,0,1,0,0,0,0,1,0,1,0,0,1,0
8539,5,4,211,3,9,4908,0,0,0,0,1,0,0,1,0,1,0,1,0
10418,5,3,270,5,1,1568,1,0,0,0,0,1,0,0,1,0,0,1,0
3398,6,2,240,4,9,4099,1,0,0,0,0,0,1,0,0,1,0,1,0
2237,3,4,139,2,45,1192,0,0,0,0,1,0,0,1,0,1,0,1,0
7903,5,2,154,4,8,4820,0,0,0,0,1,0,0,1,1,0,0,1,0
407,4,5,193,3,65,2267,0,0,0,0,1,1,0,0,0,1,0,0,1
7619,4,4,170,4,5,4574,0,0,0,0,1,0,0,1,0,1,0,1,0
321,4,5,141,3,12,1672,0,1,0,0,0,0,0,1,0,1,0,0,1
3348,3,1,234,4,6,4942,0,0,0,1,0,0,0,1,0,1,1,0,0
4024,4,1,228,2,9,4091,0,0,1,0,0,0,0,1,1,0,0,0,1
1314,5,3,190,3,52,2611,0,0,0,1,0,0,0,1,0,1,0,1,0
6944,3,5,155,4,1,4432,1,0,0,0,0,0,0,1,1,0,0,1,0
